Month,L,M,S,P3,P5,P10,P25,P50,P75,P90,P95,P97
0,-1.295960857,49.286396118,0.0500855601,45.094882608675746,45.575607403226186,46.33933651096996,47.683454689735115,49.286396118,51.018695737467304,52.70250115153633,53.772908778138486,54.4952736403688
0.5,-0.809249882,51.683580573,0.0468185454,47.46915792107976,47.96323977230351,48.742481675696276,50.09685513493345,51.683580573,53.363623387634725,54.96222276138463,55.960942258356916,56.62728063000559
1.5,-0.050782985,55.286128126,0.0434439,50.95700561782332,51.479956901940184,52.29626871157328,53.690781379835585,55.286128126,56.931360766911745,58.45612368820123,59.38910734013075,60.003377712664744
2.5,0.4768514065,58.093819061,0.0417161032,53.62925291723539,54.17907363906261,55.03144305755338,56.47125216887302,58.093819061,59.7404469372429,61.24305750796815,62.15165578698159,62.74546997237469
3.5,0.8432996117,60.459807634,0.0407051733,55.85939936383032,56.4333494737886,57.318924381421596,58.80346207823296,60.459807634,62.12329513000976,63.62647850348036,64.52875325869294,65.11577300280803
4.5,1.0975622571,62.536696555,0.0400797646,57.80470108913169,58.400324369791214,59.31632768155114,60.84386228744101,62.536696555,64.2250712719925,65.74095894810443,66.6465255567482,67.23397741216654
5.5,1.2725096408,64.406327624,0.0396868449,59.54799296623888,60.163230754808446,61.10725836297267,62.67589709491494,64.406327624,66.12417851952381,67.65995217621479,68.57451606698666,69.16667618948219
6.5,1.3904288587,66.118415533,0.0394445547,61.13893122392878,61.77208014527712,62.742102831168125,64.35005344149418,66.118415533,67.86849937047107,69.42868424518863,70.35586907499369,70.95545459250545
7.5,1.466733925,67.705744192,0.0393047376,62.60993178601524,63.25957953821356,64.2538878034357,65.89952095872275,67.705744192,69.48974950025189,71.07731063328298,72.01952454650412,72.62834749800467
8.5,1.5123019758,69.191236138,0.0392371101,63.98348086788668,64.648448283892,65.66559389846306,67.34744592932454,69.191236138,71.01018905339478,72.62711495095809,73.58600806400439,74.20531836847917
9.5,1.534950767,70.591639237,0.0392216648,65.275903473378,65.9551975697399,66.99394371122669,68.71070188364799,70.591639237,72.44613669494426,74.09377512402956,75.07050087525255,75.70118112636801
10.5,1.5403908751,71.919616727,0.0392446716,66.49947934754343,67.19225646464807,68.25153765759529,70.00202169287853,71.919616727,73.80996847739723,75.48923129887451,76.48460494801607,77.12728798590395
11.5,1.5328528917,73.185010399,0.0392964203,67.66371146103329,68.36924855042044,69.44813905364532,71.23128341647255,73.185010399,75.1113294629031,76.8228234514385,77.83742285177229,78.49256622479267
